patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.02,Ziggs,bot,0,4,2,0,2,2
16.02,Jayce,top,0,3,2,0,2,2
16.02,Varus,bot,1,2,2,0,1,1
16.02,Aurora,top,2,0,2,1,0,1
16.02,Azir,mid,2,0,2,2,0,2
16.02,Bard,sup,1,1,2,1,0,1
16.02,Jarvan IV,jng,2,0,2,1,0,1
16.02,Taliyah,mid,2,0,2,0,0,0
16.02,Alistar,sup,0,1,1,0,1,1
16.02,Ambessa,top,0,1,1,0,0,0
16.02,Braum,sup,1,0,1,0,0,0
16.02,Cassiopeia,mid,0,1,1,0,0,0
16.02,Corki,bot,1,0,1,1,0,1
16.02,Gnar,top,0,1,1,0,1,1
16.02,Gwen,top,0,1,1,0,1,1
16.02,K'Sante,top,1,0,1,0,0,0
16.02,Karma,sup,0,1,1,0,0,0
16.02,Lucian,bot,1,0,1,0,0,0
16.02,Malphite,jng,0,1,1,0,0,0
16.02,Nami,sup,1,0,1,1,0,1
16.02,Nidalee,jng,1,0,1,1,0,1
16.02,Pantheon,jng,1,0,1,0,0,0
16.02,Rakan,sup,1,0,1,0,0,0
16.02,Renekton,top,1,0,1,1,0,1
16.02,Rumble,top,0,1,1,0,1,1
16.02,Sivir,bot,1,0,1,1,0,1
16.02,Xayah,bot,0,1,1,0,0,0
16.02,Yunara,bot,0,1,1,0,1,1
16.03,Ziggs,bot,0,6,3,0,2,2
16.03,Bard,sup,1,4,2,0,2,2
16.03,Pantheon,jng,0,4,3,0,0,0
16.03,Azir,mid,1,2,2,0,2,2
16.03,Taliyah,mid,2,1,2,1,1,2
16.03,Corki,bot,2,0,2,2,0,2
16.03,Galio,mid,1,1,2,1,0,1
16.03,Jarvan IV,jng,0,2,2,0,0,0
16.03,K'Sante,top,2,0,2,1,0,1
16.03,Nami,sup,1,1,2,0,1,1
16.03,Nautilus,sup,1,1,2,1,0,1
16.03,Rakan,sup,1,1,2,0,0,0
16.03,Renekton,top,2,0,2,1,0,1
16.03,Rumble,top,0,2,1,0,1,1
16.03,Varus,bot,1,1,2,0,0,0
16.03,Yunara,bot,2,0,2,0,0,0
16.03,Ambessa,jng,1,0,1,1,0,1
16.03,Aurora,top,1,0,1,0,0,0
16.03,Cassiopeia,mid,0,1,1,0,1,1
16.03,Ezreal,bot,0,1,1,0,0,0
16.03,Gnar,top,1,0,1,0,0,0
16.03,Lulu,sup,1,0,1,0,0,0
16.03,Neeko,mid,1,0,1,0,0,0
16.03,Neeko,sup,1,0,1,1,0,1
16.03,Nidalee,jng,1,0,1,0,0,0
16.03,Nocturne,jng,1,0,1,0,0,0
16.03,Orianna,mid,1,0,1,0,0,0
16.03,Sivir,bot,1,0,1,0,0,0
16.03,Vi,jng,1,0,1,0,0,0
16.03,Wukong,jng,1,0,1,0,0,0
16.03,Xin Zhao,jng,0,1,1,0,0,0
16.03,Yorick,top,0,1,1,0,0,0
16.03,Zaahen,jng,1,0,1,1,0,1
16.04,Ziggs,bot,0,20,8,0,6,6
16.04,Orianna,mid,2,8,6,1,2,3
16.04,Taliyah,mid,4,5,5,2,2,4
