patch,champ,role,picks_by,bans_vs
16.01,Orianna,mid,0,2
16.01,Aurora,mid,0,1
16.01,Azir,mid,1,0
16.01,Corki,bot,1,0
16.01,Gnar,top,1,0
16.01,Jarvan IV,jng,0,1
16.01,Jayce,top,0,1
16.01,Jhin,bot,1,0
16.01,Karma,sup,1,0
16.01,Malphite,jng,0,1
16.01,Mel,mid,1,0
16.01,Nautilus,sup,1,0
16.01,Neeko,sup,0,1
16.01,Qiyana,jng,1,0
16.01,Rumble,top,0,1
16.01,Sion,top,1,0
16.01,Taliyah,mid,0,1
16.01,Vi,jng,1,0
16.01,Xin Zhao,jng,0,1
16.02,Jayce,top,0,4
16.02,Neeko,sup,2,2
16.02,Qiyana,jng,1,2
16.02,Xin Zhao,jng,0,3
16.02,Orianna,mid,1,1
16.02,Rumble,top,2,0
16.02,Ryze,mid,2,0
16.02,Sion,top,0,2
16.02,Alistar,sup,1,0
16.02,Azir,mid,0,1
16.02,Corki,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Galio,mid,1,0
16.02,Gragas,top,1,0
16.02,Jarvan IV,jng,0,1
16.02,Karma,sup,0,1
16.02,Naafiri,jng,1,0
16.02,Nautilus,sup,1,0
16.02,Nidalee,jng,1,0
16.02,Nocturne,jng,0,1
16.02,Rell,sup,0,1
16.02,Renekton,top,1,0
16.02,Varus,bot,1,0
16.02,Vi,jng,1,0
16.02,Wukong,jng,0,1
16.02,Yunara,bot,1,0
16.03,Ambessa,top,0,4
16.03,Leona,sup,0,3
16.03,Neeko,sup,0,3
16.03,Orianna,mid,1,2
16.03,Ryze,mid,2,1
16.03,Cho'Gath,top,2,0
16.03,Ezreal,bot,2,0
16.03,LeBlanc,mid,1,1
16.03,Renekton,top,1,1
16.03,Sion,top,0,2
16.03,Vi,jng,2,0
16.03,Yunara,bot,2,0
16.03,Aatrox,jng,0,1
16.03,Ahri,mid,0,1
16.03,Alistar,sup,0,1
16.03,Anivia,mid,1,0
16.03,Aurora,mid,1,0
16.03,Bard,sup,1,0
16.03,Braum,sup,1,0
16.03,Caitlyn,bot,0,1
16.03,Corki,bot,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Galio,top,1,0
16.03,Gnar,top,0,1
16.03,Gwen,top,0,1
16.03,Jarvan IV,jng,1,0
16.03,Jax,top,1,0
16.03,K'Sante,top,0,1
16.03,Kalista,bot,1,0
16.03,Lucian,bot,0,1
16.03,Lulu,sup,1,0
16.03,Malphite,top,1,0
16.03,Naafiri,jng,1,0
16.03,Ornn,top,0,1
16.03,Pyke,sup,1,0
16.03,Qiyana,jng,1,0
16.03,Rell,sup,1,0
16.03,Renata Glasc,sup,1,0
16.03,Rumble,top,0,1
16.03,Seraphine,sup,0,1
16.03,Varus,bot,0,1
16.03,Viktor,mid,0,1
16.04,Azir,mid,1,2
16.04,Qiyana,jng,0,3
16.04,Ahri,mid,1,0
16.04,Ashe,bot,0,1
16.04,Aurora,mid,0,1
16.04,Cho'Gath,top,1,0
16.04,Dr. Mundo,jng,1,0
16.04,Ezreal,bot,1,0
16.04,Jax,top,1,0
16.04,Kai'Sa,bot,1,0
16.04,Kalista,bot,0,1
16.04,Karma,sup,1,0
16.04,Lucian,bot,1,0
16.04,Malphite,jng,0,1
16.04,Milio,sup,1,0
16.04,Naafiri,jng,0,1
16.04,Neeko,sup,1,0
16.04,Orianna,mid,0,1
16.04,Rakan,sup,0,1
16.04,Rell,sup,0,1
16.04,Renekton,top,0,1
16.04,Rumble,top,1,0
16.04,Sion,top,0,1
16.04,Vi,jng,1,0
16.04,Viktor,mid,1,0
16.04,Xin Zhao,jng,1,0
16.05,Aurora,mid,0,2
16.05,Gnar,top,0,2
16.05,Naafiri,jng,0,2
16.05,Vi,jng,0,2
16.05,Ambessa,top,1,0
16.05,Azir,mid,1,0
16.05,Dr. Mundo,jng,1,0
16.05,Lucian,bot,1,0
16.05,Nami,sup,1,0
16.05,Nautilus,sup,1,0
16.05,Ornn,top,1,0
16.05,Pantheon,jng,0,1
16.05,Qiyana,jng,0,1
16.05,Ryze,mid,1,0
16.05,Xin Zhao,jng,1,0
16.05,Yunara,bot,1,0
16.06,Sion,top,1,4
16.06,Yunara,bot,1,4
16.06,Xin Zhao,jng,1,3
16.06,Azir,mid,1,2
16.06,Nautilus,sup,0,3
16.06,Rumble,top,0,3
16.06,Ambessa,jng,2,0
16.06,Anivia,mid,2,0
16.06,Dr. Mundo,jng,1,1
16.06,Ezreal,bot,0,2
16.06,K'Sante,top,2,0
16.06,Orianna,mid,0,2
16.06,Ornn,top,0,2
16.06,Pantheon,jng,2,0
16.06,Renekton,top,2,0
16.06,Seraphine,sup,2,0
16.06,Vi,jng,0,2
16.06,Alistar,sup,1,0
16.06,Ashe,bot,1,0
16.06,Aurora,mid,1,0
16.06,Bard,sup,1,0
16.06,Galio,mid,1,0
16.06,Gnar,top,1,0
16.06,Lucian,bot,1,0
16.06,Lulu,sup,1,0
16.06,Mel,mid,0,1
16.06,Miss Fortune,bot,1,0
16.06,Nami,sup,1,0
16.06,Ryze,mid,1,0
16.06,Sivir,bot,1,0
16.06,Syndra,mid,0,1
16.06,Varus,bot,1,0
16.07,Orianna,mid,0,11
16.07,Ryze,mid,2,6
16.07,Ezreal,bot,1,6
16.07,LeBlanc,mid,3,4
16.07,Pantheon,jng,3,4
16.07,Ashe,bot,3,1
16.07,Bard,sup,3,1
16.07,Gragas,top,4,0
16.07,Karma,sup,2,2
16.07,Nautilus,sup,0,4
16.07,Rumble,top,1,3
16.07,Xin Zhao,jng,3,1
16.07,Ahri,mid,3,0
16.07,Anivia,mid,2,1
16.07,Sion,top,2,1
16.07,Vi,jng,0,3
16.07,Aatrox,jng,2,0
16.07,Azir,mid,0,2
16.07,Caitlyn,bot,0,2
16.07,Gnar,top,1,1
16.07,Jayce,top,0,2
16.07,Miss Fortune,bot,1,1
16.07,Nami,sup,2,0
16.07,Neeko,sup,1,1
16.07,Qiyana,jng,2,0
16.07,Renekton,top,1,1
16.07,Sylas,mid,0,2
16.07,Yunara,bot,2,0
16.07,Akali,mid,0,1
16.07,Anivia,sup,1,0
16.07,Aurora,mid,1,0
16.07,Corki,bot,1,0
16.07,Diana,jng,1,0
16.07,Draven,bot,1,0
16.07,Fiddlesticks,sup,1,0
16.07,Jarvan IV,jng,1,0
16.07,Jhin,bot,1,0
16.07,K'Sante,top,1,0
16.07,Kennen,top,1,0
16.07,Lucian,bot,1,0
16.07,Lulu,sup,1,0
16.07,Malphite,top,1,0
16.07,Neeko,jng,1,0
16.07,Nidalee,sup,1,0
16.07,Nocturne,jng,0,1
16.07,Ornn,top,0,1
16.07,Poppy,top,1,0
16.07,Pyke,sup,0,1
16.07,Rakan,sup,1,0
16.07,Seraphine,sup,1,0
16.07,Sivir,bot,1,0
16.07,Taliyah,mid,0,1
16.07,Varus,bot,0,1
16.07,Varus,top,1,0
16.07,Vayne,mid,1,0
16.07,Viktor,mid,0,1
16.07,Xayah,bot,1,0
16.07,Yasuo,mid,1,0
16.07,Yone,mid,0,1
16.07,Zaahen,jng,1,0
16.07,Zeri,bot,1,0
16.07,Ziggs,bot,0,1
16.07,Zoe,mid,1,0
16.08,Karma,sup,0,4
16.08,Bard,sup,0,3
16.08,Ezreal,bot,0,3
16.08,Ashe,bot,1,1
16.08,Corki,bot,2,0
16.08,Jarvan IV,jng,0,2
16.08,Ornn,top,1,1
16.08,Qiyana,jng,1,1
16.08,Sion,top,2,0
16.08,Xin Zhao,jng,2,0
16.08,Aatrox,jng,0,1
16.08,Ahri,mid,1,0
16.08,Aurora,mid,1,0
16.08,Galio,top,1,0
16.08,Gnar,top,0,1
16.08,Gwen,top,0,1
16.08,K'Sante,top,0,1
16.08,LeBlanc,mid,1,0
16.08,Leona,sup,1,0
16.08,Nami,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,1,0
16.08,Orianna,mid,1,0
16.08,Seraphine,sup,1,0
16.08,Varus,bot,1,0
16.08,Viego,jng,1,0
16.09,Karma,sup,0,7
16.09,Ashe,bot,1,4
16.09,Orianna,mid,2,3
16.09,Xin Zhao,jng,3,1
16.09,Caitlyn,bot,2,1
16.09,Ambessa,top,0,2
16.09,Bard,sup,2,0
16.09,Ezreal,bot,2,0
16.09,Gragas,top,2,0
16.09,Jarvan IV,jng,0,2
16.09,Naafiri,jng,1,1
16.09,Pantheon,jng,0,2
16.09,Seraphine,sup,0,2
16.09,Sion,top,2,0
16.09,Viktor,mid,0,2
16.09,Ahri,mid,0,1
16.09,Akali,mid,1,0
16.09,Annie,mid,0,1
16.09,Aurora,mid,1,0
16.09,Braum,sup,1,0
16.09,Corki,bot,1,0
16.09,Gwen,top,0,1
16.09,K'Sante,top,1,0
16.09,Kled,top,1,0
16.09,LeBlanc,mid,1,0
16.09,Lee Sin,jng,1,0
16.09,Lissandra,mid,0,1
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Neeko,sup,1,0
16.09,Nocturne,jng,1,0
16.09,Pyke,sup,1,0
16.09,Rakan,sup,0,1
16.09,Rell,sup,0,1
16.09,Rumble,top,1,0
16.09,Ryze,mid,1,0
16.09,Twisted Fate,mid,1,0
16.09,Vi,jng,0,1
16.09,Wukong,jng,0,1
16.09,Zaahen,jng,1,0
16.1,Jarvan IV,jng,0,3
16.1,Ashe,bot,1,1
16.1,Karma,sup,0,2
16.1,Nautilus,sup,0,2
16.1,Alistar,sup,1,0
16.1,Ambessa,top,0,1
16.1,Anivia,top,1,0
16.1,Annie,mid,1,0
16.1,Aurora,mid,1,0
16.1,Caitlyn,bot,0,1
16.1,Cassiopeia,mid,1,0
16.1,Gnar,top,0,1
16.1,Gwen,top,1,0
16.1,Jayce,jng,1,0
16.1,Jhin,bot,1,0
16.1,Lucian,bot,1,0
16.1,Milio,sup,1,0
16.1,Naafiri,jng,0,1
16.1,Nocturne,jng,1,0
16.1,Orianna,mid,0,1
16.1,Seraphine,sup,1,0
16.1,Twisted Fate,top,1,0
16.1,Viego,jng,0,1
16.1,Wukong,jng,1,0
16.1,Xin Zhao,jng,0,1
