champ,slot,picks,bans
Aatrox,0,0,23
Aatrox,1,0,18
Aatrox,2,0,16
Aatrox,3,0,18
Aatrox,4,0,17
Aatrox,5,0,15
Aatrox,6,21,0
Aatrox,7,28,0
Aatrox,8,44,0
Aatrox,9,44,0
Aatrox,10,31,0
Aatrox,11,17,0
Aatrox,12,0,27
Aatrox,13,0,25
Aatrox,14,0,18
Aatrox,15,0,30
Aatrox,16,48,0
Aatrox,17,56,0
Aatrox,18,60,0
Aatrox,19,63,0
Ahri,0,0,11
Ahri,1,0,12
Ahri,2,0,13
Ahri,3,0,23
Ahri,4,0,13
Ahri,5,0,20
Ahri,6,33,0
Ahri,7,36,0
Ahri,8,37,0
Ahri,9,33,0
Ahri,10,76,0
Ahri,11,112,0
Ahri,12,0,62
Ahri,13,0,82
Ahri,14,0,82
Ahri,15,0,74
Ahri,16,114,0
Ahri,17,73,0
Ahri,18,82,0
Ahri,19,56,0
Akali,0,0,68
Akali,1,0,64
Akali,2,0,101
Akali,3,0,53
Akali,4,0,91
Akali,5,0,75
Akali,6,18,0
Akali,7,18,0
Akali,8,18,0
Akali,9,19,0
Akali,10,53,0
Akali,11,80,0
Akali,12,0,164
Akali,13,0,86
Akali,14,0,85
Akali,15,0,93
Akali,16,32,0
Akali,17,36,0
Akali,18,56,0
Akali,19,58,0
Alistar,0,0,2
Alistar,1,0,1
Alistar,2,0,2
Alistar,3,0,2
Alistar,4,0,4
Alistar,5,0,1
Alistar,6,1,0
Alistar,7,1,0
Alistar,8,6,0
Alistar,9,14,0
Alistar,10,50,0
Alistar,11,63,0
Alistar,12,0,63
Alistar,13,0,47
Alistar,14,0,71
Alistar,15,0,65
Alistar,16,87,0
Alistar,17,82,0
Alistar,18,80,0
Alistar,19,94,0
Ambessa,0,0,145
Ambessa,1,0,136
Ambessa,2,0,142
Ambessa,3,0,137
Ambessa,4,0,144
Ambessa,5,0,138
Ambessa,6,148,0
Ambessa,7,91,0
Ambessa,8,59,0
Ambessa,9,57,0
Ambessa,10,62,0
Ambessa,11,70,0
Ambessa,12,0,31
Ambessa,13,0,45
Ambessa,14,0,54
Ambessa,15,0,61
Ambessa,16,57,0
Ambessa,17,59,0
Ambessa,18,60,0
Ambessa,19,66,0
Anivia,0,0,15
Anivia,1,0,14
Anivia,2,0,31
Anivia,3,0,23
Anivia,4,0,41
Anivia,5,0,32
Anivia,6,14,0
Anivia,7,28,0
Anivia,8,40,0
Anivia,9,21,0
Anivia,10,34,0
Anivia,11,51,0
Anivia,12,0,60
Anivia,13,0,34
Anivia,14,0,38
Anivia,15,0,32
Anivia,16,46,0
Anivia,17,48,0
Anivia,18,46,0
Anivia,19,46,0
Annie,0,0,5
Annie,1,0,8
Annie,2,0,14
Annie,3,0,8
Annie,4,0,19
Annie,5,0,17
Annie,6,26,0
Annie,7,40,0
Annie,8,15,0
Annie,9,28,0
Annie,10,47,0
Annie,11,42,0
Annie,12,0,49
Annie,13,0,38
Annie,14,0,66
Annie,15,0,61
Annie,16,54,0
Annie,17,63,0
Annie,18,26,0
Annie,19,26,0
Aphelios,0,0,16
Aphelios,1,0,17
Aphelios,2,0,17
Aphelios,3,0,17
Aphelios,4,0,15
Aphelios,5,0,15
Aphelios,6,24,0
Aphelios,7,32,0
Aphelios,8,44,0
Aphelios,9,63,0
Aphelios,10,25,0
Aphelios,11,35,0
Aphelios,12,0,31
Aphelios,13,0,29
Aphelios,14,0,31
Aphelios,15,0,22
Aphelios,16,34,0
Aphelios,17,42,0
Aphelios,18,9,0
Aphelios,19,5,0
Ashe,0,0,50
Ashe,1,0,55
Ashe,2,0,72
Ashe,3,0,105
Ashe,4,0,85
Ashe,5,0,77
Ashe,6,134,0
Ashe,7,137,0
Ashe,8,56,0
Ashe,9,102,0
Ashe,10,28,0
Ashe,11,31,0
Ashe,12,0,31
Ashe,13,0,23
Ashe,14,0,33
Ashe,15,0,27
Ashe,16,43,0
Ashe,17,34,0
Ashe,18,3,0
Ashe,19,5,0
Aurelion Sol,0,0,13
Aurelion Sol,1,0,7
Aurelion Sol,2,0,7
Aurelion Sol,3,0,7
Aurelion Sol,4,0,3
Aurelion Sol,5,0,2
Aurelion Sol,6,1,0
Aurelion Sol,7,3,0
Aurelion Sol,9,1,0
Aurelion Sol,10,2,0
Aurelion Sol,11,7,0
Aurelion Sol,12,0,4
Aurelion Sol,13,0,3
Aurelion Sol,14,0,4
Aurelion Sol,15,0,2
Aurelion Sol,16,5,0
Aurelion Sol,17,7,0
Aurelion Sol,18,5,0
Aurelion Sol,19,7,0
Aurora,0,0,53
Aurora,1,0,30
Aurora,2,0,46
Aurora,3,0,34
Aurora,4,0,42
Aurora,5,0,58
Aurora,6,73,0
Aurora,7,70,0
Aurora,8,60,0
Aurora,9,41,0
Aurora,10,94,0
Aurora,11,64,0
Aurora,12,0,54
Aurora,13,0,80
Aurora,14,0,68
Aurora,15,0,75
Aurora,16,96,0
Aurora,17,86,0
Aurora,18,72,0
Aurora,19,60,0
Azir,0,0,90
Azir,1,0,73
Azir,2,0,95
Azir,3,0,62
Azir,4,0,84
Azir,5,0,77
Azir,6,98,0
Azir,7,90,0
Azir,8,47,0
Azir,9,49,0
Azir,10,58,0
Azir,11,64,0
Azir,12,0,49
Azir,13,0,42
Azir,14,0,51
Azir,15,0,36
Azir,16,38,0
Azir,17,39,0
Azir,18,36,0
Azir,19,35,0
Bard,0,0,76
Bard,1,0,58
Bard,2,0,97
Bard,3,0,70
Bard,4,0,66
Bard,5,0,73
Bard,6,49,0
Bard,7,49,0
Bard,8,70,0
Bard,9,58,0
Bard,10,94,0
Bard,11,101,0
Bard,12,0,103
Bard,13,0,97
Bard,14,0,88
Bard,15,0,80
Bard,16,60,0
Bard,17,30,0
Bard,18,72,0
Bard,19,59,0
Blitzcrank,3,0,1
Blitzcrank,8,2,0
Blitzcrank,10,3,0
Blitzcrank,11,4,0
Blitzcrank,12,0,5
Blitzcrank,13,0,6
Blitzcrank,14,0,15
Blitzcrank,15,0,9
Blitzcrank,16,9,0
Blitzcrank,17,7,0
Blitzcrank,18,13,0
Blitzcrank,19,8,0
Braum,2,0,4
Braum,4,0,2
Braum,5,0,4
Braum,7,2,0
Braum,8,2,0
Braum,9,11,0
Braum,10,30,0
Braum,11,32,0
Braum,12,0,56
Braum,13,0,49
Braum,14,0,54
Braum,15,0,54
Braum,16,12,0
Braum,17,25,0
Braum,18,46,0
Braum,19,64,0
Caitlyn,0,0,52
Caitlyn,1,0,50
Caitlyn,2,0,51
Caitlyn,3,0,61
Caitlyn,4,0,66
Caitlyn,5,0,66
Caitlyn,6,54,0
Caitlyn,7,69,0
Caitlyn,8,75,0
Caitlyn,9,61,0
Caitlyn,10,45,0
Caitlyn,11,45,0
Caitlyn,12,0,58
Caitlyn,13,0,62
Caitlyn,14,0,47
Caitlyn,15,0,48
Caitlyn,16,40,0
Caitlyn,17,37,0
Caitlyn,18,14,0
Caitlyn,19,15,0
Camille,1,0,1
Camille,2,0,1
Camille,4,0,2
Camille,5,0,2
Camille,6,3,0
Camille,7,3,0
Camille,9,1,0
Camille,10,4,0
Camille,11,5,0
Camille,12,0,6
Camille,13,0,6
Camille,14,0,4
Camille,15,0,9
Camille,16,5,0
Camille,17,8,0
Camille,18,18,0
Camille,19,18,0
Cassiopeia,0,0,12
Cassiopeia,1,0,10
Cassiopeia,2,0,15
Cassiopeia,3,0,9
Cassiopeia,4,0,22
Cassiopeia,5,0,18
Cassiopeia,6,11,0
Cassiopeia,7,13,0
Cassiopeia,8,16,0
Cassiopeia,9,15,0
Cassiopeia,10,23,0
Cassiopeia,11,30,0
Cassiopeia,12,0,32
Cassiopeia,13,0,27
Cassiopeia,14,0,29
Cassiopeia,15,0,24
Cassiopeia,16,24,0
Cassiopeia,17,35,0
Cassiopeia,18,33,0
Cassiopeia,19,21,0
Cho'Gath,0,0,2
Cho'Gath,1,0,4
Cho'Gath,2,0,1
Cho'Gath,3,0,2
Cho'Gath,4,0,1
Cho'Gath,6,3,0
Cho'Gath,7,1,0
Cho'Gath,8,1,0
Cho'Gath,9,1,0
Cho'Gath,10,2,0
Cho'Gath,11,4,0
Cho'Gath,12,0,2
Cho'Gath,13,0,1
Cho'Gath,14,0,1
Cho'Gath,15,0,5
Cho'Gath,17,5,0
Cho'Gath,18,5,0
Cho'Gath,19,9,0
Corki,0,0,4
Corki,1,0,7
Corki,2,0,16
Corki,3,0,16
Corki,4,0,20
Corki,5,0,19
Corki,6,71,0
Corki,7,92,0
Corki,8,145,0
Corki,9,123,0
Corki,10,57,0
Corki,11,44,0
Corki,12,0,30
Corki,13,0,49
Corki,14,0,40
Corki,15,0,32
Corki,16,80,0
Corki,17,87,0
Corki,18,19,0
Corki,19,27,0
Dr. Mundo,0,0,39
Dr. Mundo,1,0,32
Dr. Mundo,2,0,40
Dr. Mundo,3,0,44
Dr. Mundo,4,0,38
Dr. Mundo,5,0,43
Dr. Mundo,6,31,0
Dr. Mundo,7,28,0
Dr. Mundo,8,44,0
Dr. Mundo,9,50,0
Dr. Mundo,10,17,0
Dr. Mundo,11,40,0
Dr. Mundo,12,0,43
